Confirmados,Muertes,Recuperados
1,0,0
1,0,0
2,0,0
8,0,0
8,1,0
12,1,0
17,1,0
19,1,0
21,1,0
31,1,1
34,2,4
45,2,5
56,2,5
65,2,12
79,2,12
97,3,16
128,3,18
158,3,23
225,4,31
266,4,38
301,4,51
387,6,52
502,8,63
589,12,72
690,17,76
745,19,80
820,21,91
966,24,228
1054,27,240
1133,33,248
1265,37,256
1353,42,266
1451,43,279
1554,48,280
1628,54,325
1715,60,338
1795,65,358
1894,79,365
1975,83,375
2142,90,440
2208,95,468
2277,98,515
2443,105,559
2571,112,596
2669,122,631
2758,129,666
2839,132,685
2941,134,709
3031,142,737
3144,151,840
3288,159,872
3435,167,919
3607,179,976
3780,187,1030
3892,192,1107
4003,197,1140
4127,207,1162
4285,214,1192
4428,218,1256
4532,225,1292
4681,237,1320
4783,246,1354
4887,260,1442
5020,264,1472
5208,273,1524
5371,282,1601
5611,293,1659
5776,300,1728
6034,305,1757
6278,314,1837
6563,319,1862
6879,329,2266
7134,353,2385
7479,356,2497
7805,363,2534
8068,373,2569
8371,382,2625
8809,393,2872
9283,403,2933
9931,416,3032
10649,433,3062
11353,445,3530
12076,452,3732
12628,467,3999
13228,490,4167
13933,500,4349
14702,508,4617
15419,520,4788
16214,528,5100
16851,539,5336
17415,556,5521
18319,569,5709
19268,583,5896
20197,608,5993
21037,632,6088
22020,648,6180
22794,664,6909
23620,693,7305
24761,717,7568
25987,735,7991
27373,765,8332
28764,785,8743
30295,815,9083
31577,833,9564
32785,854,9891
34159,878,10174
35552,913,10512
37510,948,10721
39570,979,11851
41204,992,12206
42785,1011,12728
44931,1043,13153
47216,1078,13576
49851,1116,13816
52457,1150,14788
55343,1184,18416
57744,1207,19143
59933,1232,20134
62268,1280,21138
64530,1307,22028
67197,1351,23040
69941,1385,24186
72786,1437,25224
75376,1481,25930
77815,1507,27597
80447,1582,28531
83426,1644,30095
87030,1694,36502
90693,1720,38313
94060,1774,38984
97509,1810,41408
100166,1845,42694
103265,1903,44173
106910,1968,45467
111160,2050,47298
114783,2112,49120
119301,2178,49780
122524,2220,52607
126755,2260,54105
130774,2373,55913
136118,2490,58598
141900,2588,60531
148027,2702,62815
153520,2807,65447
158334,2893,68022
162526,2939,70518
167416,3059,72575
173355,3179,75083
178996,3288,77855
185373,3441,80596
191302,3543,83780
196543,3596,86499
201919,3648,89026
206743,3813,91302
213535,3979,94129
220682,4106,96948
228195,4251,99852
235677,4411,103297
241811,4523,108242
246499,4606,170109
253868,4764,174974
260911,5004,181389
268574,5213,187283
276072,5362,192434
282437,5527,199005
289100,5637,205697
294569,5703,211702
299126,5814,217850
305966,6048,223531
312659,6330,228725
320884,6517,233651
329043,6730,239806
336802,6848,245781
342154,6985,251400
350867,7366,256789
359638,7563,263202
370188,7839,268801
380292,8050,274458
392009,8271,280165
401239,8353,287220
408426,8457,294007
417735,8660,301195
428239,8919,308376
439172,9118,315530
451198,9361,322461
461882,9623,331621
471806,9739,340381
478792,9859,349132
488007,10129,357388
500034,10405,366590
512293,10658,382490
524198,10907,390098
535705,11148,400121
546481,11263,409771
555537,11352,419513
565446,11667,428953
577338,11852,438883
589012,12116,448263
601713,12460,456347
613658,12656,467286
622934,12799,478077
631365,13053,488231
640147,13482,508563
652174,13952,517228
664799,14376,525486
678266,14766,536589
691235,15208,546924
702484,15543,556489
711325,15749,565935
723132,16113,576715
736609,16519,585857
751001,16937,594645
765002,20288,603140
779689,20599,614515
790818,20795,626114
798486,21018,636672
809728,21468,649017
824468,21827,660272
